latitude,longitude
37.77490000,-122.41940000,UNKNOWN
37.77490000,-122.41940000,UNKNOWN
37.77490000,-122.41940000,UNKNOWN
37.77490000,-122.41940000,UNKNOWN
37.77490000,-122.41940000,UNKNOWN
37.77490000,-122.41940000,UNKNOWN
37.77490000,-122.41940000,UNKNOWN
37.77490000,-122.41940000,UNKNOWN
37.77490000,-122.41940000,UNKNOWN
37.77490000,-122.41940000,GUIDED
37.77490000,-122.41940000,GUIDED
37.77490000,-122.41940000,GUIDED
37.77490000,-122.41940000,GUIDED
37.77490000,-122.41940000,GUIDED
37.77490000,-122.41940000,GUIDED
37.77490000,-122.41940000,GUIDED
37.77490000,-122.41940000,GUIDED
37.77490000,-122.41940000,GUIDED
37.77490000,-122.41940000,GUIDED
37.77490000,-122.41940000,GUIDED
37.77490000,-122.21940000,GUIDED
37.77490000,-122.21940000,GUIDED
37.77490000,-122.21940000,GUIDED
37.77490000,-122.21940000,GUIDED
37.77490000,-122.21940000,GUIDED
37.77490000,-122.21940000,GUIDED
37.77490000,-122.21940000,GUIDED
37.77490000,-122.21940000,GUIDED
37.77490000,-122.21940000,Manual
37.77490000,-122.21940000,Manual
37.77490000,-122.21940000,Manual
37.77490000,-122.21940000,Manual
37.77490000,-122.11940000,Manual
